City,GDP (USD Billion),Population (Millions),Unemployment Rate (%),Average Age,Women (%),Men (%),Budget (USD Billion)
Bogotá,103.5,7.18,10.5,32,52,48,18.0
Medellín,44.1,2.57,11.2,31,53,47,7.5
Cali,22.4,2.23,13.8,30,52,48,4.2
Barranquilla,16.8,1.23,12.4,29,51,49,3.1
Cartagena,10.5,1.03,10.9,30,51,49,2.8
Bucaramanga (test),7.3,0.58,9.2,33,52,48,1.5
Pereira,6.2,0.48,12.0,32,52,48,1.3
Cúcuta (test),5.1,0.76,16.3,28,51,49,1.2
Ibagué (test),4.8,0.53,13.4,31,52,48,1.1
Santa Marta,4.0,0.52,11.6,29,51,49,0.9
Manizales,3.8,0.43,10.7,32,53,47,0.8
Villavicencio,3.5,0.5,13.0,30,51,49,0.8
Pasto,3.2,0.45,12.9,31,52,48,0.7
Montería,3.0,0.49,13.5,29,51,49,0.7
Valledupar,2.8,0.47,14.8,28,51,49,0.6
Neiva,2.5,0.35,14.1,30,52,48,0.6
Popayán,2.3,0.33,15.2,31,52,48,0.5
Armenia,2.1,0.3,13.3,32,53,47,0.5
Sincelejo,2.0,0.28,16.5,29,51,49,0.5
Tunja,1.8,0.25,10.0,31,52,48,0.4
Florencia,1.7,0.2,17.5,28,51,49,0.4
Riohacha,1.5,0.22,15.7,27,51,49,0.3
Quibdó,1.3,0.13,18.2,26,52,48,0.3
San Andrés,1.2,0.08,14.0,27,50,50,0.2
Yopal,1.1,0.15,11.5,29,51,49,0.2
Leticia,1.0,0.05,13.6,26,51,49,0.1
Arauca (test),0.9,0.08,12.2,29,51,49,0.1
Mocoa,0.8,0.04,15.0,28,52,48,0.1
Mitú,0.7,0.01,20.0,25,51,49,0.05
Puerto Carreño (test),0.6,0.01,22.0,24,50,50,0.05
